id;name;code_lot;building;stairs;comments;technical_information;creation_date;acquisation_date;surface;parkings_number;floors_number;real_number_of_lot;number_of_secondary_units;out_door_parking;lot_for_multiple_occupation;price_of_square_meter;rental_value_for_square_meter;transfer_amount;acquisation_amount;rent_amount;pool_factor;maturity_date;convertibility_indicator;subordination_indicator;indexed;eligibility_indicator;risk_premium;gotouarantor_code;guarantor_description;amortization_table_management;variable_rate
1;fuchsia Borders;olive;Chips THX client-server;Shoes;attitude Fiji Dollar turn-key;hack;2021-05-24;2021-05-24;37376;83721;65230;22444;50961;true;false;59666;209;75738;1598;43210;81349;2021-05-24;false;true;false;false;40869;7519;Branch THX Factors;true;false
2;mission-critical;Investment Account well-modulated Borders;Synergistic array Checking Account;multi-tasking;deliverables Producer;Borders Grenada;2021-05-24;2021-05-24;87783;81886;52251;32910;81492;true;true;3382;9529;85519;44096;32526;29163;2021-05-25;false;true;false;true;16744;81365;Buckinghamshire Markets;true;true
3;Cambridgeshire;Licensed Granite Pants;Outdoors schemas vortals;Shirt global;orchestrate Frozen;Web;2021-05-25;2021-05-25;52886;69335;25387;38407;6038;true;true;19976;2124;9126;98242;49581;76611;2021-05-24;true;true;true;false;44510;50999;Cotton;true;true
4;Squares;Architect Liaison;withdrawal ADP;Dynamic;Credit Card Account;mission-critical;2021-05-24;2021-05-24;44112;27083;84493;14175;25069;true;true;58990;25824;33075;39144;11705;92204;2021-05-24;false;false;true;false;4481;97291;primary Internal Licensed;true;true
5;Music Incredible;auxiliary invoice;Representative knowledge user;Checking Account models Manager;optical;gold Tasty Fresh Keyboard;2021-05-24;2021-05-24;24744;8204;48422;97782;11952;true;true;32122;10120;25448;14610;94874;52397;2021-05-24;false;true;true;true;58140;89907;driver program Health;true;true
6;Security heuristic;Salad;Moldova;Svalbard & Jan Mayen Islands connect sky blue;Avon;Persistent Wisconsin Chair;2021-05-24;2021-05-24;45928;28076;76539;93671;67615;false;false;55875;71536;13823;14666;2222;25745;2021-05-24;true;true;true;true;48225;11878;Corporate matrix;false;false
7;maximize intermediate Forint;Generic Cotton Chicken deposit;Fantastic Ridges;Accounts Licensed Cotton Keyboard;Incredible Wooden Bike;Idaho Louisiana;2021-05-25;2021-05-25;26819;71489;70485;24964;10830;false;true;37978;27856;7090;13026;82463;68214;2021-05-25;false;false;true;true;88862;51531;optimize Avon;false;false
8;Configuration;solid state capacitor neural-net;Oregon benchmark;payment synthesize black;Saint Helena Pound;Industrial;2021-05-24;2021-05-25;43059;54757;76780;29283;43953;true;true;4304;81554;31537;12964;8847;98579;2021-05-24;true;false;true;true;22013;38908;leading-edge leverage Wooden;false;true
9;Frozen International;overriding;Credit Card Account SAS;Freeway;indexing monitor;Communications payment bus;2021-05-24;2021-05-24;59747;64476;70385;63888;30088;true;true;71337;93747;79388;2503;19234;67298;2021-05-25;true;false;false;false;82393;30613;Centralized Engineer Intelligent Soft Computer;false;true
10;microchip Baby;Italy;Incredible;Identity eyeballs Object-based;Cotton;frame transmitter;2021-05-25;2021-05-24;25464;75822;208;40976;75676;false;false;72888;71036;96562;78023;25701;54137;2021-05-25;false;false;true;true;34861;84822;Metal plum;true;false
